state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Arkansas,AR,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,2015
California,CA,11,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,9,2015
Colorado,CO,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2015
Connecticut,CT,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,2015
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Disrict Of Columbia,DC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2015
Florida,FL,10,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,0,0,9,2015
Georgia,GA,6,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,9,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Illnois,IL,5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,9,2015
Indiana,IN,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,9,2015
Iowa,IA,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,9,2015
Kansas,KS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2015
Kentucky,KY,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,2015
Louisana,LA,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,2015
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Maryland,MD,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2015
Massachusetts,MA,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,9,2015
Michigan,MI,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,2015
Minnesota,MN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2015
Mississippi,MS,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,2015
Missouri,MO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,2015
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Nevada,NV,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
New Jersey,NJ,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,9,2015
New Mexico,NM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2015
New York,NY,21,0,0,1,0,0,0,0,0,1,14,0,1,0,4,0,0,0,9,2015
North Carolina,NC,8,1,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,9,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Ohio,OH,9,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,9,2015
Oklahoma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Pennsylvania,PA,6,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,9,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
South Carolina,SC,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Tennessee,TN,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,2015
Texas,TX,28,0,0,0,0,0,0,0,0,9,11,0,1,2,5,0,0,0,9,2015
Utah,UT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Virginia,VA,5,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,9,2015
Washington,WA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,2015
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Wisconson,WI,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2015
Outside USA,XX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2015
No State,NS,6,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,9,2015
