state,state_abbr,total,a,as,cas,d,i,o,no,noh,ra,rb,rna,ro,rel,rep,s,sh,unk,month,year
Alabama,AL,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,10,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Arizona,AZ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Arkansas,AR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
California,CA,11,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,10,2015
Colorado,CO,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,2015
Connecticut,CT,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,2015
Delaware,DE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Disrict Of Columbia,DC,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,10,2015
Florida,FL,14,1,0,0,0,5,5,0,0,0,1,0,0,1,0,0,0,1,10,2015
Georgia,GA,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Illnois,IL,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Indiana,IN,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Kansas,KS,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,10,2015
Kentucky,KY,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2015
Louisana,LA,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,10,2015
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Maryland,MD,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2015
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Michigan,MI,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,10,2015
Minnesota,MN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Mississippi,MS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Missouri,MO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Montana,MT,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Nevada,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
New Jersey,NJ,7,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,10,2015
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
New York,NY,25,1,0,0,0,5,17,0,0,0,0,0,0,2,0,0,0,0,10,2015
North Carolina,NC,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Ohio,OH,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Oklahoma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Oregon,OR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Pennsylvania,PA,8,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,10,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
South Carolina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
South Dakota,SD,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Tennessee,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Texas,TX,10,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,10,2015
Utah,UT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Virginia,VA,6,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,10,2015
Washington,WA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Wisconson,WI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015
No State,NS,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,10,2015
