state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Arizona,AZ,7,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,2,0,5,2015
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
California,CA,22,0,0,0,1,0,0,0,0,6,11,0,0,0,3,0,1,0,5,2015
Colorado,CO,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2015
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Disrict Of Columbia,DC,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2015
Florida,FL,16,0,0,0,0,0,0,0,0,3,11,1,0,0,1,0,0,0,5,2015
Georgia,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Hawaii,HI,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Illnois,IL,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2015
Indiana,IN,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Kansas,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Kentucky,KY,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2015
Louisana,LA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2015
Maine,ME,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2015
Maryland,MD,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,2015
Massachusetts,MA,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2015
Michigan,MI,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2015
Minnesota,MN,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2015
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Missouri,MO,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2015
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
New Jersey,NJ,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2015
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
New York,NY,27,0,0,0,0,0,0,0,0,5,14,1,2,3,2,0,0,0,5,2015
North Carolina,NC,7,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,5,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Ohio,OH,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2015
Oklahoma,OK,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2015
Oregon,OR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2015
Pennsylvania,PA,12,0,0,0,0,0,0,0,0,2,8,0,0,0,2,0,0,0,5,2015
Rhode Island ,RI,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2015
South Carolina,SC,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2015
South Dakota,SD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2015
Tennessee,TN,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2015
Texas,TX,14,0,0,0,0,0,0,0,0,3,3,1,1,2,3,1,0,0,5,2015
Utah,UT,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Virginia,VA,6,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,5,2015
Washington,WA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2015
West Virginia,WV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2015
Wisconson,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2015
No State,NS,5,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2015
