state,state_abbr,total,a,as,cas,d,i,o,no,noh,ra,rb,rna,ro,rel,rep,s,sh,unk,month,year
Alabama,AL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Arizona,AZ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Arkansas,AR,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
California,CA,12,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,12,2015
Colorado,CO,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,12,2015
Connecticut,CT,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,12,2015
Delaware,DE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Disrict Of Columbia,DC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Florida,FL,8,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,0,1,12,2015
Georgia,GA,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,12,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Illnois,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Indiana,IN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Iowa,IA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Kansas,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Kentucky,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Louisana,LA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Maryland,MD,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,2015
Massachusetts,MA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Michigan,MI,5,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,12,2015
Minnesota,MN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Missouri,MO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Montana,MT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Nevada,NV,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
New Jersey,NJ,6,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,12,2015
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
New York,NY,21,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,12,2015
North Carolina,NC,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Ohio,OH,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,12,2015
Oklahoma,OK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Oregon,OR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Pennsylvania,PA,7,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,12,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
South Carolina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Tennessee,TN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2015
Texas,TX,13,0,0,0,1,8,2,0,0,0,2,0,0,0,0,0,0,0,12,2015
Utah,UT,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Virginia,VA,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,12,2015
Washington,WA,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,2015
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Wisconson,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Wyoming,WY,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2015
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
No State,NS,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,2015
