state,total,ytd
Hawaii,1,1
Washington,1,1
Montana,0,0
Maine,0,0
North Dakota,0,0
South Dakota,0,0
Wyoming,0,0
Wisconson,2,2
Idaho,1,1
Vermont,0,0
Minnesota,1,1
Oregon,0,0
New Hampshire,0,0
Iowa,3,3
Massachusetts,3,3
Nebraska,0,0
New York,10,10
Pennsylvania,10,10
Connecticut,5,5
Rhode Island ,0,0
New Jersey,5,5
Indiana,2,2
Nevada,0,0
Utah,1,1
California,15,15
Ohio,2,2
Illnois,5,5
Disrict Of Columbia,0,0
Delaware,0,0
West Virginia,1,1
Maryland,4,4
Colorado,1,1
Kentucky,0,0
Kansas,0,0
Virginia,4,4
Missouri,0,0
Arizona,0,0
Oklahoma,0,0
North Carolina,1,1
Tennessee,1,1
Texas,6,6
New Mexico,0,0
Alabama,1,1
Mississippi,1,1
Georgia,4,4
South Carolina,1,1
Arkansas,0,0
Louisana,2,2
Florida,4,4
Michigan,3,3
Alaska,0,0
