state,state_abbr,total,a,as,cas,d,i,o,no,noh,ra,rb,rna,ro,rel,rep,s,sh,unk,month,year
Alabama,AL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Arizona,AZ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
California,CA,16,0,0,0,1,9,5,0,0,0,0,0,0,1,0,0,0,0,2,2016
Colorado,CO,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2016
Connecticut,CT,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2016
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Disrict Of Columbia,DC,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2016
Florida,FL,5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,2016
Georgia,GA,7,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,2,2016
Hawaii,HI,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2016
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Illnois,IL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Indiana,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Iowa,IA,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2016
Kansas,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Kentucky,KY,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2016
Louisana,LA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Maryland,MD,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2016
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Michigan,MI,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2016
Minnesota,MN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2016
Mississippi,MS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2016
Missouri,MO,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2016
Montana,MT,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2016
Nebraska,NE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Nevada,NV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2016
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
New Jersey,NJ,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2016
New Mexico,NM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2016
New York,NY,20,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,2,2016
North Carolina,NC,5,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,2,2016
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Ohio,OH,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2016
Oklahoma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Oregon,OR,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2016
Pennsylvania,PA,6,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2016
Rhode Island ,RI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
South Carolina,SC,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2016
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Tennessee,TN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2016
Texas,TX,6,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,2,2016
Utah,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Virginia,VA,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2016
Washington,WA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2016
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Wisconson,WI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2016
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2016
No State,NS,7,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,1,2,2016
