state,total,ytd
Alaska,0,0
Alabama,1,1
Arkansas,0,0
Arizona,0,0
California,11,11
Colorado,1,1
Connecticut,3,3
Disrict Of Columbia,0,0
Delaware,0,0
Florida,10,10
Georgia,2,2
Hawaii,1,1
Iowa,0,0
Idaho,0,0
Illnois,1,1
Indiana,3,3
Kansas,0,0
Kentucky,0,0
Louisana,0,0
Massachusetts,0,0
Maryland,1,1
Maine,0,0
Michigan,6,6
Minnesota,1,1
Missouri,1,1
Mississippi,0,0
Montana,0,0
North Carolina,3,3
North Dakota,0,0
Nebraska,0,0
New Hampshire,1,1
New Jersey,6,6
New Mexico,0,0
No State,6,6
Nevada,0,0
New York,12,12
Ohio,0,0
Okalahma,0,0
Oregon,0,0
Pennsylvania,6,6
Rhode Island ,0,0
South Carolina,0,0
South Dakota,0,0
Tennessee,2,2
Texas,11,11
Utah,1,1
Virginia,6,6
Vermont,0,0
Washington,0,0
Wisconson,2,2
West Virginia,1,1
Wyoming,0,0
Outside USA,0,0
