state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Arizona,AZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2015
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
California,CA,24,1,0,0,4,0,0,1,0,5,1,0,1,0,3,0,0,8,2,2015
Colorado,CO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2015
Connecticut,CT,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2015
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Disrict Of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Florida,FL,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,2015
Georgia,GA,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Illnois,IL,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Indiana,IN,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Kansas,KS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2015
Kentucky,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Louisana,LA,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2015
Maine,ME,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2015
Maryland,MD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2015
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Michigan,MI,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2015
Minnesota,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Mississippi,MS,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2015
Missouri,MO,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2015
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Nevada,NV,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2015
New Hampshire,NH,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2015
New Jersey,NH,10,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,2015
New Mexico,NM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2015
New York,NY,17,1,0,1,0,0,0,0,0,3,6,1,1,0,2,0,0,2,2,2015
North Carolina,NC,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Ohio,OH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2015
Oklahoma,OK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2015
Oregon,OR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2015
Pennsylvania,PA,10,1,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,2,2,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
South Carolina,SC,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Tennessee,TN,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2015
Texas,TX,11,1,0,0,1,0,0,0,0,2,2,0,1,0,2,0,0,2,2,2015
Utah,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Virginia,VA,6,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,2,2015
West Virginia,WV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2015
Wisconson,WI,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
Outside USA,XX,7,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,2,2015
No State,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015
